model,family,input_window,output_window,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,n_train_samples,epochs_run,best_epoch,hit_epoch_limit,seconds,seed,best_baseline,dm_statistic,dm_p_value,params_to_samples,exceeds_param_rule
lstm,recurrent,30,1,0.011823699866870936,0.009066488775272753,0.012315631678508802,0.5060881773266017,7927,13097,28.0,4.0,False,31.0,42.0,historical_mean,2.8760253947974332,0.004079976228864517,0.6052531113995572,True
gru,recurrent,30,1,0.011810664646928547,0.009076455603616595,0.012347634191584066,0.5068171386916493,6231,13097,30.0,7.0,False,37.1,42.0,historical_mean,5.328223865038299,1.1315399498361958e-07,0.47575780713140414,True
cnn,convolutional,30,1,0.011812356357614002,0.009061431653530353,0.012371802912949809,0.4992305407813386,3095,13097,42.0,18.0,False,22.0,42.0,historical_mean,5.55012588893214,3.3308238165114593e-08,0.2363136596167061,True
cnn_deep,convolutional,30,1,0.011818003607260237,0.009025266697109291,0.012291334979210835,0.5176705634601366,9815,13097,34.0,10.0,False,23.5,42.0,historical_mean,0.08354375677159964,0.9334295333307959,0.7494082614339161,True
conv_gru,mixed,30,1,0.01182770409506677,0.009036779220974603,0.012300022228181193,0.5123248467831205,10487,13097,26.0,1.0,False,27.6,42.0,historical_mean,2.1801915522377078,0.029387132213180164,0.8007177216156371,True
multibranch,mixed,30,1,0.011838164078346203,0.009042094425388647,0.012303330206127137,0.5119468668160587,19671,13097,26.0,1.0,False,30.4,42.0,historical_mean,3.283747016424977,0.0010462613967870675,1.5019470107658242,True
buy_and_hold,baseline,30,5,0.013258657394332733,0.010119753203446128,0.013717573547282497,0.4979134695635786,0,13094,,,False,0.0,,historical_mean,27.05779971617801,2.6796440694143145e-133,0.0,False
zero_return,baseline,30,5,0.005481769626267644,0.004168135783398276,0.005623633598570925,0.0,0,13094,,,False,0.0,,historical_mean,2.3218077049186223,0.02036706861362839,0.0,False
window_mean,baseline,30,5,0.005964480440096274,0.004578903952127566,0.006180800714934702,0.4983442371375495,0,13094,,,False,0.0,,historical_mean,9.583306342189605,3.3970514019337814e-21,0.0,False
historical_mean,baseline,30,5,0.005472894708487565,0.004138705212915281,0.005602618796626066,0.5417709931884878,23,13094,,,False,0.0,,historical_mean,0.0,1.0,0.0017565297082633266,False
